stand up	立	grade1	139	亠[kettle lid radical (no. 8)]	"<img src=""07acb.svg"">"
sound	音	grade1	250	立[stand up] 亠[kettle lid radical (no. 8)] 日[day]	"<img src=""097f3.svg"">"
child	子	grade1	43	了[complete] ㇇[horizontal + left-falling] 亅[barb radical (no. 6)] 一[one]	"<img src=""05b50.svg"">"
character	字	grade1	378	宀[katakana u radical (no. 40)] 冖[wa-shaped crown radical (no. 14)] 子[child] 了[complete] ㇇[horizontal + left-falling] 亅[barb radical (no. 6)] 一[one]	"<img src=""05b57.svg"">"
study	学	grade1	61	⺍[owl (primitive)] 冖[wa-shaped crown radical (no. 14)] 子[child] 了[complete] ㇇[horizontal + left-falling] 亅[barb radical (no. 6)] 一[one]	"<img src=""05b66.svg"">"
sentence	文	grade1	73	亠[kettle lid radical (no. 8)] 乂[mow]	"<img src=""06587.svg"">"
flower	花	grade1	300	艹[grass radical (no. 140)] 化[change] 亻[radical number 9] 匕[spoon]	"<img src=""082b1.svg"">"
before	先	grade1	117	儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""05148.svg"">"
spirit	気	grade1	16	气[steam radical (no. 84)] 𠂉[person (radical)] 乂[mow] 丿[katakana no radical (no. 4)]	"<img src=""06c17.svg"">"
public	公	grade2	220	八[eight] 厶[katakana mu radical (no. 28)]	"<img src=""0516c.svg"">"
noon	午	grade2	713	丿[katakana no radical (no. 4)] 干[dry] 十[ten]	"<img src=""05348.svg"">"
shape	形	grade2	360	开[open] 干[dry] 十[ten] 彡[short hair or fur radical (no. 59)]	"<img src=""05f62.svg"">"
south	南	grade2	561	䒑[grass radical (variant)] 十[ten] 冂[upside-down box radical (no. 13)] 干[dry]	"<img src=""05357.svg"">"
half	半	grade2	375	丶[dot radical (no. 3)] 二[two] 一[one] 十[ten]	"<img src=""0534a.svg"">"
beginning	元	grade2	244	二[two] 一[one] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""05143.svg"">"
meeting	会	grade2	18	𠆢[top "person" radical] 云[quote] 二[two] 一[one] 厶[katakana mu radical (no. 28)]	"<img src=""04f1a.svg"">"
ten thousand	万	grade2	346	一[one]	"<img src=""04e07.svg"">"
now	今	grade2	23	𠆢[top "person" radical] 一[one]	"<img src=""04eca.svg"">"
west	西	grade2	453	一[one] 囗[box radical (no. 31)] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""0897f.svg"">"
ray	光	grade2	384	⺌[small (primitive)] 兀[high & level] 一[one] 儿[legs radical (no. 10)] 丿[katakana no radical (no. 4)] ㇟[vertical curved hook]	"<img src=""05149.svg"">"
pond	池	grade2	868	氵[water radical (no. 85)] 也[est] 乙[fishguts]	"<img src=""06c60.svg"">"
round	丸	grade2	744	九[nine] 丿[katakana no radical (no. 4)] 乙[fishguts] 丶[dot radical (no. 3)]	"<img src=""04e38.svg"">"
dart	矢	grade2	1230	天[heavens] 大[large] 人[person]	"<img src=""077e2.svg"">"
