沙	氵少小丿
抄	扌少小丿
糸	幺小
系	丿糸幺小
係	亻系丿糸幺小
糾	糸幺小丩丨
索	十冖糸幺小
維	糸幺小隹亻
羅	罒維糸幺小隹亻
級	糸幺小及丿又
納	糸幺小内冂人
紛	糸幺小分八刀
紺	糸幺小甘廿十
緑	糸幺小彔⺕氺
潔	氵絜刀糸幺小
約	糸幺小勺勹丿丶
素	龶三二一糸幺小
純	糸幺小屯丿屮凵
縁	糸幺小彖彑⺕豕
緩	糸幺小爰⺤友又
絵	糸幺小会𠆢云二一厶
綻	糸幺小定宀冖疋龰卜人
縦	糸幺小従彳亻疋龰卜人
統	糸幺小充亠允厶儿丿㇟八
縫	糸幺小逢夆夂丰三二一丨⻌
余	𠆢小
叙	余𠆢小又
除	⻖余𠆢小
途	余𠆢小⻌
徐	彳亻余𠆢小
示	二一小
票	覀示二一小
漂	氵票覀示二一小
奈	大人示二一小
宗	宀冖示二一小
叔	上卜一小又
淑	氵叔上卜一小又
寂	宀冖叔上卜一小又
蔽	艹敝小冂攵乂丿
弊	敝小冂攵乂丿廾十
戚	戊厂戈弋尗上卜一小丿丶
山	
仙	亻山
出	山丨凵
屈	尸出山凵
掘	扌屈尸出山凵
窟	穴宀冖八屈尸出山凵
拙	扌出山凵
両	一冂山
満	氵艹十両冂山
岡	冂䒑山
剛	岡冂䒑丨山刂
綱	糸幺小岡冂䒑山
幽	山丨幺
岐	山支十又
岸	山厂干十
催	亻崔山隹
炭	山灰厂火人
峠	山上卜一下
峡	山夹二一大人从
峰	山夆夂丰三二一丨
崇	山宗宀冖示二一小
微	彳亻山兀一儿丿㇟攵乂
女	
奴	女又
努	奴女又力
妥	⺤女
妻	⺕女
凄	冫妻⺕女
要	覀女
安	宀冖女
娠	女辰厂
妙	女少小丿
妖	女夭丿大人
姿	次冫欠人女
姻	女因囗大人
婆	波氵皮又女
媛	女爰⺤友又
嫌	女兼八⺕丨
嫉	女疾疒矢天大人
威	戍厂戈弋一女丿丶
嬢	女㐮六亠八三二一𧘇
川	
州	丶川丨
酬	酉西一囗儿丿㇟州丶川
流	氵㐬亠厶川
口	
石	口
岩	山石口
拓	扌石口
妬	女石口
破	石口皮又
研	石口开干十
砂	石口少小丿
砕	石口卆九乙十
硫	石口㐬亠厶川
碁	其甘廿十八石口
確	石口寉宀冖隹亻
右	口
若	艹右口
匿	匸若艹右口
言	口
計	言口十
信	亻言口
訃	言口卜
訓	言口川
診	言口人彡
詐	言口乍丿
誉	⺍八言口
罰	罒言口刂
誰	言口隹亻
訂	言口丁一亅
許	言口午干十
訳	言口尺尸八
訟	言口公八厶
評	言口平干十
該	言口亥亠人
談	言口炎火人
諾	言口若艹右
託	言口乇丿七一
設	言口殳几丿又
語	言口吾五二一
謙	言口兼八⺕丨
誇	言口夸大人二一
獄	⺨言口犬大人丶
諮	言口咨次冫欠人
謹	言口𦰌艹三二一
護	言口蒦艹隻隹亻又
論	言口侖人一冊冂廾十丿
譲	言口㐮六亠八三二一𧘇
品	口
𠮟	口七
中	口丨
虫	中口丨
独	⺨虫中口丨
風	几丿虫中口丨
嵐	山風几丿虫中口丨
蛍	⺍冖虫中口丨
属	尸禹丿虫禸冂
嘱	口属尸禹丿虫禸冂
蚕	天一大人虫中口丨
蛇	虫中口丨它宀冖匕
蛮	亦亠丿亅虫中口丨
濁	氵蜀罒勹丿虫中口丨
繭	艹冂糸幺小虫中口丨
